,Apple,Apple,Apple,Apple,Apple,Samsung,Samsung,Samsung,Samsung,Samsung
,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,
2015-03-24,28.170608520507812,28.470790562185886,28.14170081990879,28.290682355055825,131369200.0,22707.74609375,22738.515397400068,22384.668405424287,22384.668405424287,9113150.0
2015-03-25,27.43459701538086,28.19951096263978,27.43459701538086,28.13725084069286,206620800.0,22846.208984375,22892.36294191919,22646.2085016835,22876.978289404462,9369050.0
2015-03-26,27.625823974609375,27.76813330160785,27.261156112118154,27.29673429209827,190291600.0,21861.591796875,22400.05464901478,21861.591796875,22307.7467315051,21005950.0
2015-03-27,27.40568733215332,27.728106504535486,27.330086250365834,27.699200507933366,158184800.0,21861.591796875,22276.97742566854,21769.283879365325,21769.283879365325,16065800.0
2015-03-30,28.099445343017578,28.10611582684197,27.572455066900133,27.58357367091465,188398800.0,21969.28125,22061.589154411766,21723.126838235297,21923.12729779412,8955500.0
2015-03-31,27.668073654174805,28.126131711225387,27.652508623977777,28.037187954473346,168362400.0,22169.283203125,22338.514372614503,22000.052033635497,22292.360417299184,9842650.0
2015-04-01,27.628047943115234,27.821500479076686,27.372335288856576,27.754792240066255,162485600.0,21892.359375,22107.744498858046,21846.205419887563,22107.744498858046,7266050.0
2015-04-02,27.865970611572266,27.91933618318835,27.614706086104803,27.801486434991567,128880400.0,22061.5859375,22153.893828451884,21892.354804088216,22061.5859375,6903400.0
2015-04-03,,,,,,22061.5859375,22153.893828451884,21846.200858612276,22061.5859375,6270150.0
2015-04-06,28.317363739013672,28.35294192475229,27.645841599579253,27.67697166386991,148776000.0,22615.4453125,22923.138446003402,22076.982328869046,22200.05958227041,10582600.0
2015-04-07,28.01940155029297,28.488576533226613,28.012731065181562,28.38184537852191,140049200.0,22492.3671875,22846.21427731703,22492.3671875,22738.521684764022,9526050.0
2015-04-08,27.928234100341797,28.1061216224908,27.78814882176073,27.98382373895572,149316800.0,22753.90234375,22846.21026400862,22461.5939295977,22615.44046336207,7773400.0
2015-04-09,28.141700744628906,28.146148866152842,27.719220808765048,27.983826359755124,129936000.0,22815.4375,22907.74540627107,22615.437036412677,22615.437036412677,9107550.0
2015-04-10,28.261770248413086,28.286229823662996,27.852631346889225,28.006057586730154,160752000.0,22923.1328125,22984.67142407718,22738.516977768453,22769.286283557045,9960100.0
2015-04-13,28.206180572509766,28.588639230734085,28.152814997705434,28.544164808218575,145460400.0,22753.90234375,22938.51818426724,22584.671156609194,22753.90234375,10293300.0
2015-04-14,28.083879470825195,28.30401391271499,27.997159790794043,28.239529743583486,102098400.0,22676.982421875,22846.213633978543,22538.52052106301,22846.213633978543,9429750.0
2015-04-15,28.190610885620117,28.268436022782996,28.01939558386178,28.108339324816825,115881600.0,22246.20703125,22615.438683220953,21953.898640106327,22461.59216156639,13551050.0
2015-04-16,28.054977416992188,28.261770933185833,28.04163644706391,28.07943699283474,113476000.0,22723.12890625,22723.12890625,22261.589388858327,22492.35914755416,10762350.0
2015-04-17,27.739229202270508,28.04830745205387,27.674745018986492,27.917116721430638,207828000.0,22307.748046875,22738.518353987067,22261.594085398705,22723.133700161638,10172300.0
2015-04-20,28.372953414916992,28.488579125779587,27.832622017726813,27.921565785715647,188217200.0,22000.0546875,22276.978452797204,21892.362112106643,22246.209145541958,12394900.0
2015-04-21,28.219524383544922,28.506365420044734,28.166157110114217,28.48413160080693,129740400.0,22215.4453125,22230.82996991863,21846.21353445291,21861.598191871537,11852650.0
2015-04-22,28.59975814819336,28.655347790616638,28.088334455775946,28.237314290319635,150618000.0,22476.978515625,22661.594355589066,22092.36218236653,22215.43940900924,12655550.0
2015-04-23,28.833232879638672,29.00000179276501,28.493024568294725,28.52860275072968,183083600.0,22323.1328125,22615.44123664714,22153.90161957271,22615.44123664714,9245150.0
2015-04-24,28.968875885009766,29.046702746129995,28.735398694571785,29.015572680266445,178103600.0,21692.3671875,22384.676778590423,21538.520611702126,22292.3688331117,19089900.0
2015-04-27,29.49585723876953,29.60259177459487,29.16231944838953,29.42025615391798,387816800.0,21461.587890625,21707.742303707437,21153.894874271955,21692.357652889787,16517150.0
2015-04-28,29.031137466430664,29.916123719820707,28.8110046300183,29.898338018087145,475696000.0,21015.4296875,21538.50773243045,20907.737148837845,21384.661248627377,15697300.0
2015-04-29,28.604206085205078,29.26016318298656,28.52860498629819,28.942192058978048,253544400.0,21307.73828125,21446.200118456676,20984.660661101083,21030.81460683664,10895650.0
2015-04-30,27.828170776367188,28.60420158242397,27.701426480269312,28.60420158242397,332781600.0,21692.3671875,21815.444448138296,21215.442802526595,21307.750748005317,18352850.0
2015-05-01,28.673131942749023,28.93551677409575,27.861524660384124,28.039410467610814,234050400.0,,,,,
2015-05-04,28.617544174194336,29.033356962148268,28.519705871146353,28.795431689470476,203953200.0,21538.51953125,21892.36663783482,21492.365560825892,21646.212128906252,8283700.0
2015-05-05,27.972705841064453,28.561954632389803,27.968257720114217,28.495246389824892,197085600.0,,,,,
2015-05-06,27.797039031982422,28.183942381380493,27.430147135062807,28.141693719755914,288564000.0,20953.900390625,21400.055391600126,20861.592459388765,21384.670736394088,13270500.0
2015-05-07,27.968976974487305,28.152072553223462,27.69209940387363,27.859564934554776,175763600.0,21076.982421875,21153.905715385492,20830.82788264142,20953.905152258212,10257400.0
2015-05-08,28.495933532714844,28.495933532714844,28.15876914169282,28.286042868912773,222201600.0,20584.669921875,21076.97891851177,20584.669921875,21015.440293932174,9488100.0
2015-05-11,28.20566177368164,28.48253764789053,28.051592936345216,28.444579202141632,168143200.0,20553.892578125,20923.12418132485,20553.892578125,20923.12418132485,9640450.0
2015-05-12,28.105178833007812,28.330697825742963,27.870726438466505,28.04489029564702,192640000.0,20476.97265625,20815.435014204544,20369.280087809915,20692.357793130162,10633200.0
